time,theta1,omega1,theta2,omega2,lensX,lensY
2.42,-0.186003,-0.186003,-4.65203,-4.65203,3.42101,3.15796
2.43,-0.105437,-0.105437,-4.67825,-4.67825,3.38258,3.23347
2.44,-0.0267591,-0.0267591,-4.69493,-4.69493,3.33874,3.30089
2.45,0.0498614,0.0498614,-4.70199,-4.70199,3.28955,3.36007
2.46,0.124265,0.124265,-4.6994,-4.6994,3.23511,3.41084
2.47,0.196299,0.196299,-4.68712,-4.68712,3.17549,3.4531
2.48,0.265823,0.265823,-4.66514,-4.66514,3.11079,3.48672
2.49,0.332703,0.332703,-4.63348,-4.63348,3.04111,3.51162
2.5,0.396817,0.396817,-4.59217,-4.59217,2.96657,3.52775
2.51,0.458052,0.458052,-4.54128,-4.54128,2.88728,3.53506
2.52,0.516305,0.516305,-4.48087,-4.48087,2.80337,3.53353
2.53,0.571484,0.571484,-4.41104,-4.41104,2.71498,3.52318
2.54,0.623508,0.623508,-4.33192,-4.33192,2.62224,3.50401
2.55,0.672304,0.672304,-4.24363,-4.24363,2.52531,3.47609
2.56,0.717814,0.717814,-4.14635,-4.14635,2.42434,3.43948
2.57,0.759988,0.759988,-4.04024,-4.04024,2.31949,3.39428
2.58,0.798786,0.798786,-3.92551,-3.92551,2.21093,3.34058
2.59,0.834181,0.834181,-3.80238,-3.80238,2.09883,3.27854
2.6,0.866156,0.866156,-3.67108,-3.67108,1.98338,3.20831
2.61,0.894705,0.894705,-3.53186,-3.53186,1.86475,3.13005
2.62,0.91983,0.91983,-3.385,-3.385,1.74314,3.04398
2.63,0.941548,0.941548,-3.23079,-3.23079,1.61874,2.95029
2.64,0.959882,0.959882,-3.06954,-3.06954,1.49175,2.84923
2.65,0.974868,0.974868,-2.90156,-2.90156,1.36238,2.74105
2.66,0.986551,0.986551,-2.72719,-2.72719,1.23082,2.62601
2.67,0.994985,0.994985,-2.5468,-2.5468,1.0973,2.50442
2.68,1.00023,1.00023,-2.36073,-2.36073,0.962017,2.37656
2.69,1.00237,1.00237,-2.16938,-2.16938,0.825199,2.24276
2.7,1.00148,1.00148,-1.97313,-1.97313,0.68706,2.10336
2.71,0.997643,0.997643,-1.77238,-1.77238,0.547822,1.9587
2.72,0.990967,0.990967,-1.56755,-1.56755,0.407708,1.80915
2.73,0.981555,0.981555,-1.35907,-1.35907,0.266941,1.65507
2.74,0.969519,0.969519,-1.14735,-1.14735,0.125748,1.49686
2.75,0.954981,0.954981,-0.932852,-0.932852,-0.0156472,1.3349
2.76,0.938065,0.938065,-0.716009,-0.716009,-0.157017,1.16961
2.77,0.918904,0.918904,-0.497277,-0.497277,-0.298136,1.00139
2.78,0.897637,0.897637,-0.277112,-0.277112,-0.438777,0.830673
2.79,0.874405,0.874405,-0.0559756,-0.0559756,-0.578717,0.657878
2.8,0.849355,0.849355,0.165669,0.165669,-0.717731,0.483439
2.81,0.822639,0.822639,0.387356,0.387356,-0.855596,0.307792
2.82,0.794412,0.794412,0.60862,0.60862,-0.992093,0.131375
2.83,0.76483,0.76483,0.828993,0.828993,-1.127,-0.0453705
2.84,0.734053,0.734053,1.04801,1.04801,-1.26011,-0.222002
2.85,0.702243,0.702243,1.26521,1.26521,-1.3912,-0.398079
2.86,0.669563,0.669563,1.48013,1.48013,-1.52007,-0.573161
2.87,0.636176,0.636176,1.69233,1.69233,-1.6465,-0.74681
2.88,0.602247,0.602247,1.90133,1.90133,-1.7703,-0.918593
2.89,0.567938,0.567938,2.10672,2.10672,-1.89127,-1.08808
2.9,0.533413,0.533413,2.30803,2.30803,-2.00921,-1.25485
2.91,0.498834,0.498834,2.50486,2.50486,-2.12393,-1.41848
2.92,0.464358,0.464358,2.69678,2.69678,-2.23526,-1.57856
2.93,0.430144,0.430144,2.88338,2.88338,-2.34302,-1.7347
2.94,0.396346,0.396346,3.06427,3.06427,-2.44702,-1.88651
2.95,0.363113,0.363113,3.23905,3.23905,-2.54711,-2.03359
2.96,0.330593,0.330593,3.40736,3.40736,-2.64313,-2.1756
2.97,0.298929,0.298929,3.56883,3.56883,-2.73492,-2.31217
2.98,0.268257,0.268257,3.72312,3.72312,-2.82233,-2.44296
2.99,0.23871,0.23871,3.8699,3.8699,-2.90523,-2.56764
3,0.210415,0.210415,4.00885,4.00885,-2.98347,-2.6859
3.01,0.183492,0.183492,4.13969,4.13969,-3.05695,-2.79745
3.02,0.158055,0.158055,4.26212,4.26212,-3.12554,-2.90201
3.03,0.134211,0.134211,4.37589,4.37589,-3.18912,-2.99932
3.04,0.112061,0.112061,4.48075,4.48075,-3.24761,-3.08913
3.05,0.091697,0.091697,4.57647,4.57647,-3.30089,-3.17121
3.06,0.0732035,0.0732035,4.66286,4.66286,-3.3489,-3.24538
3.07,0.0566576,0.0566576,4.73972,4.73972,-3.39155,-3.31142
3.08,0.0421276,0.0421276,4.80689,4.80689,-3.42877,-3.3692
3.09,0.0296737,0.0296737,4.86423,4.86423,-3.46051,-3.41855
3.1,0.0193471,0.0193471,4.91161,4.91161,-3.48672,-3.45936
3.11,0.0111903,0.0111903,4.94894,4.94894,-3.50734,-3.49152
3.12,0.00523688,0.00523688,4.97613,4.97613,-3.52235,-3.51495
3.13,0.00151119,0.00151119,4.99311,4.99311,-3.53173,-3.5296
3.14,2.85359e-05,2.85359e-05,4.99987,4.99987,-3.53546,-3.53542
3.15,0.000794997,0.000794997,4.99638,4.99638,-3.53353,-3.53241
3.16,0.00380743,0.00380743,4.98265,4.98265,-3.52595,-3.52057
3.17,0.00905348,0.00905348,4.9587,4.9587,-3.51273,-3.49993
3.18,0.0165116,0.0165116,4.9246,4.9246,-3.49389,-3.47054
3.19,0.0261513,0.0261513,4.88041,4.88041,-3.46946,-3.43248
3.2,0.0379327,0.0379327,4.82623,4.82623,-3.43948,-3.38584
3.21,0.0518075,0.0518075,4.76217,4.76217,-3.404,-3.33073
3.22,0.0677183,0.0677183,4.68838,4.68838,-3.36307,-3.2673
3.23,0.0855994,0.0855994,4.60501,4.60501,-3.31676,-3.19571
3.24,0.105377,0.105377,4.51224,4.51224,-3.26515,-3.11612
3.25,0.126968,0.126968,4.41027,4.41027,-3.20831,-3.02875
3.26,0.150282,0.150282,4.29931,4.29931,-3.14634,-2.93381
3.27,0.175223,0.175223,4.17961,4.17961,-3.07933,-2.83153
3.28,0.201685,0.201685,4.05142,4.05142,-3.0074,-2.72218
3.29,0.229556,0.229556,3.91502,3.91502,-2.93066,-2.60602
3.3,0.258717,0.258717,3.7707,3.7707,-2.84923,-2.48335
3.31,0.289045,0.289045,3.61877,3.61877,-2.76324,-2.35447
3.32,0.320408,0.320408,3.45955,3.45955,-2.67283,-2.21971
3.33,0.35267,0.35267,3.29338,3.29338,-2.57815,-2.0794
3.34,0.385691,0.385691,3.12062,3.12062,-2.47934,-1.93389
3.35,0.419326,0.419326,2.94164,2.94164,-2.37656,-1.78355
3.36,0.453424,0.453424,2.75682,2.75682,-2.26998,-1.62874
3.37,0.487833,0.487833,2.56655,2.56655,-2.15977,-1.46987
3.38,0.522397,0.522397,2.37124,2.37124,-2.04611,-1.30733
3.39,0.556957,0.556957,2.1713,2.1713,-1.92917,-1.14152
3.4,0.591352,0.591352,1.96717,1.96717,-1.80915,-0.972849
3.41,0.625419,0.625419,1.75927,1.75927,-1.68623,-0.801752
3.42,0.658997,0.658997,1.54804,1.54804,-1.56061,-0.62865
3.43,0.69192,0.69192,1.33394,1.33394,-1.4325,-0.453977
3.44,0.724025,0.724025,1.11742,1.11742,-1.30209,-0.278169
3.45,0.755148,0.755148,0.898926,0.898926,-1.16961,-0.101667
3.46,0.785128,0.785128,0.678934,0.678934,-1.03525,0.0750905
3.47,0.813805,0.813805,0.457904,0.457904,-0.899234,0.25166
3.48,0.841019,0.841019,0.236301,0.236301,-0.76178,0.4276
3.49,0.866616,0.866616,0.0145921,0.0145921,-0.623108,0.602472
