time,theta1,omega1,theta2,omega2,lensX,lensY
9.702,-4.68995,-4.68995,4.68995,4.68995,0,-6.63259
9.735,-4.35023,-4.35023,4.35023,4.35023,0,-6.15215
9.768,-3.89731,-3.89731,3.89731,3.89731,0,-5.51163
9.801,-3.34297,-3.34297,3.34297,3.34297,0,-4.72767
9.834,-2.70164,-2.70164,2.70164,2.70164,0,-3.8207
9.867,-1.99001,-1.99001,1.99001,1.99001,0,-2.8143
9.9,-1.22659,-1.22659,1.22659,1.22659,0,-1.73466
9.933,-0.431257,-0.431257,0.431257,0.431257,0,-0.609889
9.966,0.375301,0.375301,-0.375301,-0.375301,0,0.530755
9.999,1.17209,1.17209,-1.17209,-1.17209,0,1.65759
10.032,1.93838,1.93838,-1.93838,-1.93838,0,2.74129
10.065,2.65423,2.65423,-2.65423,-2.65423,0,3.75365
10.098,3.30101,3.30101,-3.30101,-3.30101,0,4.66834
10.131,3.86189,3.86189,-3.86189,-3.86189,0,5.46154
10.164,4.32228,4.32228,-4.32228,-4.32228,0,6.11263
10.197,4.67019,4.67019,-4.67019,-4.67019,0,6.60465
10.23,4.89657,4.89657,-4.89657,-4.89657,0,6.9248
10.263,4.99554,4.99554,-4.99554,-4.99554,0,7.06475
10.296,4.9645,4.9645,-4.9645,-4.9645,0,7.02087
10.329,4.80428,4.80428,-4.80428,-4.80428,0,6.79428
10.362,4.51904,4.51904,-4.51904,-4.51904,0,6.39089
10.395,4.11621,4.11621,-4.11621,-4.11621,0,5.8212
10.428,3.60626,3.60626,-3.60626,-3.60626,0,5.10003
10.461,3.00247,3.00247,-3.00247,-3.00247,0,4.24614
10.494,2.32055,2.32055,-2.32055,-2.32055,0,3.28176
10.527,1.57825,1.57825,-1.57825,-1.57825,0,2.23198
10.56,0.794871,0.794871,-0.794871,-0.794871,0,1.12412
10.593,-0.00918937,-0.00918937,0.00918937,0.00918937,0,-0.0129957
10.626,-0.813011,-0.813011,0.813011,0.813011,0,-1.14977
10.659,-1.59568,-1.59568,1.59568,1.59568,0,-2.25663
10.692,-2.33682,-2.33682,2.33682,2.33682,0,-3.30476
10.725,-3.01715,-3.01715,3.01715,3.01715,0,-4.2669
10.758,-3.61897,-3.61897,3.61897,3.61897,0,-5.118
10.791,-4.12662,-4.12662,4.12662,4.12662,0,-5.83592
10.824,-4.52688,-4.52688,4.52688,4.52688,0,-6.40197
10.857,-4.80934,-4.80934,4.80934,4.80934,0,-6.80144
10.89,-4.96666,-4.96666,4.96666,4.96666,0,-7.02391
10.923,-4.99473,-4.99473,4.99473,4.99473,0,-7.06361
10.956,-4.89282,-4.89282,4.89282,4.89282,0,-6.91949
10.989,-4.6636,-4.6636,4.6636,4.6636,0,-6.59532
11.022,-4.31301,-4.31301,4.31301,4.31301,0,-6.09952
11.055,-3.8502,-3.8502,3.8502,3.8502,0,-5.445
11.088,-3.28719,-3.28719,3.28719,3.28719,0,-4.64878
11.121,-2.63864,-2.63864,2.63864,2.63864,0,-3.7316
11.154,-1.92143,-1.92143,1.92143,1.92143,0,-2.71731
